date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
19:41:04	2713/-1	---M--	200	added ('OK')	text/xml	date:Mon,%2011%20Jul%202022%2016:41:03%20GMT	https://infobloom.site/wp-json/oembed/1.0/embed?url=https%3A%2F%2Finfobloom.site%2Fnfts-and-crypto-art-kichi-japanese-cafe%2F&format=xml	C:/%d0%9c%d0%be%d0%b8%20Web%20%d0%a1%d0%b0%d0%b9%d1%82%d1%8b/Info/https___infobloom.site_/infobloom.site/wp-json/oembed/1.0/embedf3f7	(from https://infobloom.site/nfts-and-crypto-art-kichi-japanese-cafe/)
19:41:04	4903/4903	---M--	200	added ('OK')	image/png	etag:%22628f0d13-1327%22	https://infobloom.site/wp-content/uploads/2022/05/f24844_b670db1fc0fd49db8753fdc601e913e4_mv2.png	C:/%d0%9c%d0%be%d0%b8%20Web%20%d0%a1%d0%b0%d0%b9%d1%82%d1%8b/Info/https___infobloom.site_/infobloom.site/wp-content/uploads/2022/05/f24844_b670db1fc0fd49db8753fdc601e913e4_mv2.png	(from https://infobloom.site/nfts-and-crypto-art-kichi-japanese-cafe/)
19:41:05	2695/2695	---M--	200	added ('OK')	image/png	etag:%22628f0d11-a87%22	https://infobloom.site/wp-content/uploads/2022/05/1653542161_676_NFTs-and-Crypto-Art-%e2%80%93-Kichi-Japanese-Cafe.png	C:/%d0%9c%d0%be%d0%b8%20Web%20%d0%a1%d0%b0%d0%b9%d1%82%d1%8b/Info/https___infobloom.site_/infobloom.site/wp-content/uploads/2022/05/1653542161_676_NFTs-and-Crypto-Art-%e2%80%93-Kichi-Japanese-Cafe.png	(from https://infobloom.site/nfts-and-crypto-art-kichi-japanese-cafe/)
19:41:07	236757/236757	---M--	200	added ('OK')	image/jpeg	etag:%22628f0d11-39cd5%22	https://infobloom.site/wp-content/uploads/2022/05/NFTs-and-Crypto-Art-%e2%80%93-Kichi-Japanese-Cafe.jpeg	C:/%d0%9c%d0%be%d0%b8%20Web%20%d0%a1%d0%b0%d0%b9%d1%82%d1%8b/Info/https___infobloom.site_/infobloom.site/wp-content/uploads/2022/05/NFTs-and-Crypto-Art-%e2%80%93-Kichi-Japanese-Cafe.jpg	(from https://infobloom.site/nfts-and-crypto-art-kichi-japanese-cafe/)
19:41:08	229382/229382	---M--	200	added ('OK')	image/jpeg	date:Thu,%2007%20Apr%202022%2022:01:55%20GMT	https://koricafejapones.files.wordpress.com/2022/04/1-jvb3hwnnisiqdqmakx8omw.jpeg?w=712	C:/%d0%9c%d0%be%d0%b8%20Web%20%d0%a1%d0%b0%d0%b9%d1%82%d1%8b/Info/https___infobloom.site_/koricafejapones.files.wordpress.com/2022/04/1-jvb3hwnnisiqdqmakx8omwbc78.jpg	(from https://infobloom.site/nfts-and-crypto-art-kichi-japanese-cafe/)
19:41:09	28153/28153	---M--	200	added ('OK')	image/jpeg	etag:%22628f0d11-6df9%22	https://infobloom.site/wp-content/uploads/2022/05/NFTs-and-Crypto-Art-%e2%80%93-Kichi-Japanese-Cafe.jpg	C:/%d0%9c%d0%be%d0%b8%20Web%20%d0%a1%d0%b0%d0%b9%d1%82%d1%8b/Info/https___infobloom.site_/infobloom.site/wp-content/uploads/2022/05/NFTs-and-Crypto-Art-%e2%80%93-Kichi-Japanese-Cafe-2.jpg	(from https://infobloom.site/nfts-and-crypto-art-kichi-japanese-cafe/)
19:41:10	348072/348072	---M--	200	added ('OK')	image/gif	etag:%22628f0d11-54fa8%22	https://infobloom.site/wp-content/uploads/2022/05/NFTs-and-Crypto-Art-%e2%80%93-Kichi-Japanese-Cafe.gif	C:/%d0%9c%d0%be%d0%b8%20Web%20%d0%a1%d0%b0%d0%b9%d1%82%d1%8b/Info/https___infobloom.site_/infobloom.site/wp-content/uploads/2022/05/NFTs-and-Crypto-Art-%e2%80%93-Kichi-Japanese-Cafe.gif	(from https://infobloom.site/nfts-and-crypto-art-kichi-japanese-cafe/)
19:41:10	164828/164828	---M--	200	added ('OK')	image/jpeg	date:Thu,%2007%20Apr%202022%2022:14:44%20GMT	https://koricafejapones.files.wordpress.com/2022/04/lg-b-detalle-everydays-the-first-5000-days-2f-17-03-21.jpg?w=712	C:/%d0%9c%d0%be%d0%b8%20Web%20%d0%a1%d0%b0%d0%b9%d1%82%d1%8b/Info/https___infobloom.site_/koricafejapones.files.wordpress.com/2022/04/lg-b-detalle-everydays-the-first-5000-days-2f-17-03-21bc78.jpg	(from https://infobloom.site/nfts-and-crypto-art-kichi-japanese-cafe/)
19:41:11	293156/293156	---M--	200	added ('OK')	image/jpeg	etag:%22628f0d12-47924%22	https://infobloom.site/wp-content/uploads/2022/05/1653542162_461_NFTs-and-Crypto-Art-%e2%80%93-Kichi-Japanese-Cafe.jpg	C:/%d0%9c%d0%be%d0%b8%20Web%20%d0%a1%d0%b0%d0%b9%d1%82%d1%8b/Info/https___infobloom.site_/infobloom.site/wp-content/uploads/2022/05/1653542162_461_NFTs-and-Crypto-Art-%e2%80%93-Kichi-Japanese-Cafe.jpg	(from https://infobloom.site/nfts-and-crypto-art-kichi-japanese-cafe/)
19:41:14	8430/-1	---M--	200	added ('OK')	application/json	date:Mon,%2011%20Jul%202022%2016:41:13%20GMT	https://infobloom.site/wp-json/wp/v2/posts/1151	C:/%d0%9c%d0%be%d0%b8%20Web%20%d0%a1%d0%b0%d0%b9%d1%82%d1%8b/Info/https___infobloom.site_/infobloom.site/wp-json/wp/v2/posts/1151.json	(from https://infobloom.site/how-to-buy-nfts-on-opensea-using-trust-wallet/)
